Artist,Location,Datetime,Artist Link,Artist Image
Los Bondadosos and Los Rehenes,"El Patron Mexican Restaurant,Lexington, KY, US",2024-09-01T21:00:00-0500,https://www.songkick.com/concerts/42111516-los-bondadosos-at-el-patron-mexican-restaurant,artist_images/Los_Bondadosos_and_Los_Rehenes.jpg
"Lil Yachty, NLE Choppa, and Chow Lee","Rupp Arena,Lexington, KY, US",2024-09-05T20:00:00-0500,https://www.songkick.com/concerts/41921369-lil-yachty-at-rupp-arena,"artist_images/Lil_Yachty,_NLE_Choppa,_and_Chow_Lee.jpg"
Zach Top,"Manchester Music Hall,Lexington, KY, US",2024-09-05T20:00:00-0500,https://www.songkick.com/concerts/41991716-zach-top-at-manchester-music-hall,artist_images/Zach_Top.jpg
Mac McAnally,"Lexington Opera House,Lexington, KY, US",2024-09-05T20:00:00-0500,https://www.songkick.com/concerts/41897202-mac-mcanally-at-lexington-opera-house,artist_images/Mac_McAnally.jpg
Alejandro Escovedo and Jason Isbell and the 400 Unit,"Rupp Arena,Lexington, KY, US",2024-09-06T20:00:00-0500,https://www.songkick.com/concerts/41796570-alejandro-escovedo-at-rupp-arena,artist_images/Alejandro_Escovedo_and_Jason_Isbell_and_the_400_Unit.jpg
Steel Panther,"Manchester Music Hall,Lexington, KY, US",2024-09-06T20:00:00-0500,https://www.songkick.com/concerts/41960465-steel-panther-at-manchester-music-hall,artist_images/Steel_Panther.jpg
Keller Williams and The HillBenders,"The Burl,Lexington, KY, US",2024-09-06,https://www.songkick.com/concerts/42066605-keller-williams-at-burl,artist_images/Keller_Williams_and_The_HillBenders.jpg
Hannah Dasher,"Georgetown, KY, US",2024-09-06T21:00:00-0500,https://www.songkick.com/concerts/41836346-hannah-dasher-at-unknown-venue,artist_images/Hannah_Dasher.jpg
Burl County Fest 2024,"The Burl,Lexington, KY, US",2024-09-06,https://www.songkick.com/festivals/3682569-burl-county-fest/id/42079150-burl-county-fest-2024,artist_images/Burl_County_Fest_2024.jpg
Festival of the Mewz 2024,"Bash on the Branch,Irvine, KY, US",2024-09-07,https://www.songkick.com/festivals/3683057-of-the-mewz/id/42083661-festival-of-the-mewz-2024,artist_images/Festival_of_the_Mewz_2024.jpg
Dopapod,"The Burl,Lexington, KY, US",2024-09-08T20:00:00-0500,https://www.songkick.com/concerts/42022988-dopapod-at-burl,artist_images/Dopapod.jpg
La Original Banda El Limón de Salvador Lizárraga,"Clarion Hotel Conference Center - North,Lexington, KY, US",2024-09-08T20:00:00-0500,https://www.songkick.com/concerts/42133718-la-original-banda-el-limon-de-salvador-lizarraga-at-clarion-hotel-conference-center-north,artist_images/La_Original_Banda_El_Limón_de_Salvador_Lizárraga.jpg
Taylor McCall,"The Burl,Lexington, KY, US",2024-09-10,https://www.songkick.com/concerts/42141871-taylor-mccall-at-burl,artist_images/Taylor_McCall.jpg
Tom Wopat,"Manchester Music Hall,Lexington, KY, US",2024-09-11T20:00:00-0500,https://www.songkick.com/concerts/42047911-tom-wopat-at-manchester-music-hall,artist_images/Tom_Wopat.jpg
Red Not Chili Peppers,"Manchester Music Hall,Lexington, KY, US",2024-09-12T20:00:00-0500,https://www.songkick.com/concerts/41999551-red-not-chili-peppers-at-manchester-music-hall,artist_images/Red_Not_Chili_Peppers.jpg
Drake White,"Manchester Music Hall,Lexington, KY, US",2024-09-13T19:00:00-0500,https://www.songkick.com/concerts/41471373-drake-white-at-manchester-music-hall,artist_images/Drake_White.jpg
Bendigo Fletcher,"The Burl,Lexington, KY, US",2024-09-13T18:30:00-0500,https://www.songkick.com/concerts/42069929-bendigo-fletcher-at-burl,artist_images/Bendigo_Fletcher.jpg
Erin Gibney,"Tin Roof - Lexington,Lexington, KY, US",2024-09-13T20:00:00-0500,https://www.songkick.com/concerts/42095180-erin-gibney-at-tin-roof-lexington,artist_images/Erin_Gibney.jpg
STRFKR,"Manchester Music Hall,Lexington, KY, US",2024-09-14T20:00:00-0500,https://www.songkick.com/concerts/41972520-strfkr-at-manchester-music-hall,artist_images/STRFKR.jpg
Kathleen Madigan,"Lexington Opera House,Lexington, KY, US",2024-09-14T19:00:00-0500,https://www.songkick.com/concerts/41884002-kathleen-madigan-at-lexington-opera-house,artist_images/Kathleen_Madigan.jpg
Sarah Shook & the Disarmers,"The Burl,Lexington, KY, US",2024-09-14,https://www.songkick.com/concerts/42142029-sarah-shook-and-the-disarmers-at-burl,artist_images/Sarah_Shook_&_the_Disarmers.jpg
Alex Williams and Silverada,"Manchester Music Hall,Lexington, KY, US",2024-09-15T20:00:00-0500,https://www.songkick.com/concerts/42091690-alex-williams-at-manchester-music-hall,artist_images/Alex_Williams_and_Silverada.jpg
Glacial Tomb,"Al's Bar,Lexington, KY, US",2024-09-15T19:00:00-0500,https://www.songkick.com/concerts/42098409-glacial-tomb-at-als-bar,artist_images/Glacial_Tomb.jpg
Melissa Carper,"The Burl,Lexington, KY, US",2024-09-18,https://www.songkick.com/concerts/41948400-melissa-carper-at-burl,artist_images/Melissa_Carper.jpg
MC4D,"Manchester Music Hall,Lexington, KY, US",2024-09-19T20:00:00-0500,https://www.songkick.com/concerts/42112777-mc4d-at-manchester-music-hall,artist_images/MC4D.jpg
Shrek Rave,"Manchester Music Hall,Lexington, KY, US",2024-09-20T21:00:00-0500,https://www.songkick.com/concerts/42089311-shrek-rave-at-manchester-music-hall,artist_images/Shrek_Rave.jpg
Supersuckers,"The Burl,Lexington, KY, US",2024-09-20,https://www.songkick.com/concerts/42144644-supersuckers-at-burl,artist_images/Supersuckers.jpg
Bingo Loco,"Manchester Music Hall,Lexington, KY, US",2024-09-21,https://www.songkick.com/concerts/42142023-bingo-loco-at-manchester-music-hall,artist_images/Bingo_Loco.jpg
teni rane,"Woodsongs,Lexington, KY, US",2024-09-23T19:00:00-0500,https://www.songkick.com/concerts/42124634-teni-rane-at-woodsongs,artist_images/teni_rane.jpg
Nekrogoblikon and Enterprise Earth,"Manchester Music Hall,Lexington, KY, US",2024-09-24T19:30:00-0500,https://www.songkick.com/concerts/42036991-nekrogoblikon-at-manchester-music-hall,artist_images/Nekrogoblikon_and_Enterprise_Earth.jpg
Amy Grant,"Lexington Opera House,Lexington, KY, US",2024-09-25T20:00:00-0500,https://www.songkick.com/concerts/41883813-amy-grant-at-lexington-opera-house,artist_images/Amy_Grant.jpg
Kaitlin Butts,"The Burl,Lexington, KY, US",2024-09-25,https://www.songkick.com/concerts/41983369-kaitlin-butts-at-burl,artist_images/Kaitlin_Butts.jpg
World Chicken Festival 2024,"London, KY, US",2024-09-26,https://www.songkick.com/festivals/777144-world-chicken/id/42138285-world-chicken-festival-2024,artist_images/World_Chicken_Festival_2024.jpg
Sturgill Simpson,"Rupp Arena,Lexington, KY, US",2024-09-27T20:00:00-0500,https://www.songkick.com/concerts/41991417-sturgill-simpson-at-rupp-arena,artist_images/Sturgill_Simpson.jpg
Loud Luxury,"Manchester Music Hall,Lexington, KY, US",2024-09-27T21:00:00-0500,https://www.songkick.com/concerts/42095878-loud-luxury-at-manchester-music-hall,artist_images/Loud_Luxury.jpg
Hannah Dasher,"World Chicken Festival,London, KY, US",2024-09-27T20:00:00-0500,https://www.songkick.com/concerts/41868642-hannah-dasher-at-world-chicken-festival,artist_images/Hannah_Dasher.jpg
Dusty Slay,"Lexington Opera House,Lexington, KY, US",2024-09-27T19:00:00-0500,https://www.songkick.com/concerts/41827527-dusty-slay-at-lexington-opera-house,artist_images/Dusty_Slay.jpg
Uncle Kracker,"World Chicken Festival,London, KY, US",2024-09-28T19:00:00-0500,https://www.songkick.com/concerts/42126933-uncle-kracker-at-world-chicken-festival,artist_images/Uncle_Kracker.jpg
Chris D’Elia,"Lexington Opera House,Lexington, KY, US",2024-09-28T20:00:00-0500,https://www.songkick.com/concerts/41999482-chris-delia-at-lexington-opera-house,artist_images/Chris_D’Elia.jpg
Willie Watson,"The Burl,Lexington, KY, US",2024-09-28,https://www.songkick.com/concerts/42019807-willie-watson-at-burl,artist_images/Willie_Watson.jpg
Speedy Ortiz,"The Burl,Lexington, KY, US",2024-09-29T19:00:00-0500,https://www.songkick.com/concerts/42117557-speedy-ortiz-at-burl,artist_images/Speedy_Ortiz.jpg
Black Jacket Symphony,"Lexington Opera House,Lexington, KY, US",2024-09-29T20:00:00-0500,https://www.songkick.com/concerts/41914744-black-jacket-symphony-at-lexington-opera-house,artist_images/Black_Jacket_Symphony.jpg
Black Jacket Symphony,"Lexington Opera House,Lexington, KY, US",2024-09-29T16:00:00-0500,https://www.songkick.com/concerts/41936786-black-jacket-symphony-at-lexington-opera-house,artist_images/Black_Jacket_Symphony.jpg
Trombone Shorty & Orleans Avenue,"Lexington Opera House,Lexington, KY, US",2024-09-30T20:00:00-0500,https://www.songkick.com/concerts/42021008-trombone-shorty-and-orleans-avenue-at-lexington-opera-house,artist_images/Trombone_Shorty_&_Orleans_Avenue.jpg
