Artist,Location,Datetime,Artist Link,Date,Time
Shakey Graves,The Burl,2024-06-26T19:00:00-0500,https://www.songkick.com/concerts/41866369-shakey-graves-at-burl,2024-06-26,19:00
Laura Gibson,Laura Gibson Undertow Show,2024-06-26T19:00:00-0500,https://www.songkick.com/concerts/41923178-laura-gibson-at-laura-gibson-undertow-show,2024-06-26,19:00
Austin Meade,Manchester Music Hall,2024-06-26T20:00:00-0500,https://www.songkick.com/concerts/42021311-austin-meade-at-manchester-music-hall,2024-06-26,20:00
Mike Campbell & The Dirty Knobs,Lexington Opera House,2024-06-27T20:00:00-0500,https://www.songkick.com/concerts/41797630-mike-campbell-and-the-dirty-knobs-at-lexington-opera-house,2024-06-27,20:00
Hardwired,Manchester Music Hall,2024-06-27,https://www.songkick.com/concerts/42010396-hardwired-at-manchester-music-hall,2024-06-27,
Hayden Coffman,Manchester Music Hall,2024-06-29T20:00:00-0500,https://www.songkick.com/concerts/41714049-hayden-coffman-at-manchester-music-hall,2024-06-29,20:00
AK-7 and La Autoridad de la Sierra,Corral,2024-06-29T21:00:00-0500,https://www.songkick.com/concerts/41992313-ak7-at-corral,2024-06-29,21:00
David Spade,Lexington Opera House,2024-06-30T20:00:00-0500,https://www.songkick.com/concerts/41894942-david-spade-at-lexington-opera-house,2024-06-30,20:00
The Steel Woods,The Burl,2024-07-04,https://www.songkick.com/concerts/41948676-steel-woods-at-burl,2024-07-04,
Tyler Deaver,Lake Reba Recreational Complex Park,2024-07-04T16:00:00-0500,https://www.songkick.com/concerts/42013289-tyler-deaver-at-lake-reba-recreational-complex-park,2024-07-04,16:00
Town Mountain and John R Miller,The Burl,2024-07-06T20:00:00-0500,https://www.songkick.com/concerts/41912553-town-mountain-at-burl,2024-07-06,20:00
Home Grown Head,Al's,2024-07-06T19:00:00-0500,https://www.songkick.com/concerts/42030066-home-grown-head-at-als,2024-07-06,19:00
Jen Howard,Slainte Public House,2024-07-07T17:00:00-0500,https://www.songkick.com/concerts/41684503-jen-howard-at-slainte-public-house,2024-07-07,17:00
Justin Timberlake,Rupp Arena,2024-07-09T19:30:00-0500,https://www.songkick.com/concerts/41703312-justin-timberlake-at-rupp-arena,2024-07-09,19:30
Jeremy Pinnell and Summer Dean,The Burl,2024-07-11T19:00:00-0500,https://www.songkick.com/concerts/41727409-jeremy-pinnell-at-burl,2024-07-11,19:00
Del McCoury Band,Manchester Music Hall,2024-07-11T20:00:00-0500,https://www.songkick.com/concerts/41898831-del-mccoury-band-at-manchester-music-hall,2024-07-11,20:00
Kolby Cooper,Manchester Music Hall,2024-07-12T20:00:00-0500,https://www.songkick.com/concerts/41840775-kolby-cooper-at-manchester-music-hall,2024-07-12,20:00
Holler Of Doom 2024,Festival Grounds,2024-07-12,https://www.songkick.com/festivals/3658627-holler-of-doom/id/41864665-holler-of-doom-2024,2024-07-12,
Uncle Lucius,Manchester Music Hall,2024-07-16T20:00:00-0500,https://www.songkick.com/concerts/41930439-uncle-lucius-at-manchester-music-hall,2024-07-16,20:00
Ben Folds,Lexington Opera House,2024-07-17T19:30:00-0500,https://www.songkick.com/concerts/41860300-ben-folds-at-lexington-opera-house,2024-07-17,19:30
Trey Kennedy,Lexington Opera House,2024-07-18T19:30:00-0500,https://www.songkick.com/concerts/41816919-trey-kennedy-at-lexington-opera-house,2024-07-18,19:30
Six Foot Blonde,Al's Bar,2024-07-18,https://www.songkick.com/concerts/41848768-six-foot-blonde-at-als-bar,2024-07-18,
Veil of Maya,Manchester Music Hall,2024-07-20T15:00:00-0500,https://www.songkick.com/concerts/41917527-veil-of-maya-at-manchester-music-hall,2024-07-20,15:00
"Left To Suffer, Within Destruction, Ten56, and Cabal",Manchester Music Hall,2024-07-20T17:20:00-0500,https://www.songkick.com/concerts/41907394-left-to-suffer-at-manchester-music-hall,2024-07-20,17:20
Olivia Rodrigo,Rupp Arena,2024-07-24T19:30:00-0500,https://www.songkick.com/concerts/41413871-olivia-rodrigo-at-rupp-arena,2024-07-24,19:30
Whitey Morgan and the 78's,Manchester Music Hall,2024-07-25T20:00:00-0500,https://www.songkick.com/concerts/42014537-whitey-morgan-and-the-78s-at-manchester-music-hall,2024-07-25,20:00
The Stews (US),The Burl,2024-07-25,https://www.songkick.com/concerts/41799077-stews-us-at-burl,2024-07-25,
Wilderado,The Burl,2024-07-26T19:00:00-0500,https://www.songkick.com/concerts/41821447-wilderado-at-burl,2024-07-26,19:00
Home Grown Head,Al's,2024-07-26T20:00:00-0500,https://www.songkick.com/concerts/42030070-home-grown-head-at-als,2024-07-26,20:00
Fruit Bats,The Burl,2024-07-27,https://www.songkick.com/concerts/41698871-fruit-bats-at-burl,2024-07-27,
LEXINGTON REGGAE FEST 2024,Oleika Temple,2024-07-28,https://www.songkick.com/festivals/3670269-lexington-reggae-fest/id/41966163-lexington-reggae-fest-2024,2024-07-28,
"Beartooth, Currents, and Boundaries",Manchester Music Hall,2024-07-29T18:30:00-0500,https://www.songkick.com/concerts/41934578-beartooth-at-manchester-music-hall,2024-07-29,18:30
Old 97's,The Burl,2024-07-31,https://www.songkick.com/concerts/41948675-old-97s-at-burl,2024-07-31,
Breed (Official),Al's Bar,2024-07-31T19:00:00-0500,https://www.songkick.com/concerts/42005174-breed-official-at-als-bar,2024-07-31,19:00
