Artist,Location,Datetime,Artist Link,Artist Image,Date,Time
The Steel Woods,"The Burl,Lexington, KY, US",2024-07-04,https://www.songkick.com/concerts/41948676-steel-woods-at-burl,artist_images/The_Steel_Woods.jpg,2024-07-04,
Tyler Deaver,"Lake Reba Recreational Complex Park,Richmond, KY, US",2024-07-04T16:00:00-0500,https://www.songkick.com/concerts/42013289-tyler-deaver-at-lake-reba-recreational-complex-park,artist_images/Tyler_Deaver.jpg,2024-07-04,04:00 PM
Town Mountain and John R Miller,"The Burl,Lexington, KY, US",2024-07-06T20:00:00-0500,https://www.songkick.com/concerts/41912553-town-mountain-at-burl,artist_images/Town_Mountain_and_John_R_Miller.jpg,2024-07-06,08:00 PM
Home Grown Head,"Al's,Lexington, KY, US",2024-07-06T19:00:00-0500,https://www.songkick.com/concerts/42030066-home-grown-head-at-als,artist_images/Home_Grown_Head.jpg,2024-07-06,07:00 PM
Jen Howard,"Slainte Public House,Georgetown, KY, US",2024-07-07T17:00:00-0500,https://www.songkick.com/concerts/41684503-jen-howard-at-slainte-public-house,artist_images/Jen_Howard.jpg,2024-07-07,05:00 PM
Justin Timberlake,"Rupp Arena,Lexington, KY, US",2024-07-09T19:30:00-0500,https://www.songkick.com/concerts/41703312-justin-timberlake-at-rupp-arena,artist_images/Justin_Timberlake.jpg,2024-07-09,07:30 PM
Jeremy Pinnell and Summer Dean,"The Burl,Lexington, KY, US",2024-07-11T19:00:00-0500,https://www.songkick.com/concerts/41727409-jeremy-pinnell-at-burl,artist_images/Jeremy_Pinnell_and_Summer_Dean.jpg,2024-07-11,07:00 PM
Del McCoury Band,"Manchester Music Hall,Lexington, KY, US",2024-07-11T20:00:00-0500,https://www.songkick.com/concerts/41898831-del-mccoury-band-at-manchester-music-hall,artist_images/Del_McCoury_Band.jpg,2024-07-11,08:00 PM
Kolby Cooper,"Manchester Music Hall,Lexington, KY, US",2024-07-12T20:00:00-0500,https://www.songkick.com/concerts/41840775-kolby-cooper-at-manchester-music-hall,artist_images/Kolby_Cooper.jpg,2024-07-12,08:00 PM
Holler Of Doom 2024,"Festival Grounds, Marydell,London, KY, US",2024-07-12,https://www.songkick.com/festivals/3658627-holler-of-doom/id/41864665-holler-of-doom-2024,artist_images/Holler_Of_Doom_2024.jpg,2024-07-12,
Uncle Lucius,"Manchester Music Hall,Lexington, KY, US",2024-07-16T20:00:00-0500,https://www.songkick.com/concerts/41930439-uncle-lucius-at-manchester-music-hall,artist_images/Uncle_Lucius.jpg,2024-07-16,08:00 PM
Ben Folds,"Lexington Opera House,Lexington, KY, US",2024-07-17T19:30:00-0500,https://www.songkick.com/concerts/41860300-ben-folds-at-lexington-opera-house,artist_images/Ben_Folds.jpg,2024-07-17,07:30 PM
Trey Kennedy,"Lexington Opera House,Lexington, KY, US",2024-07-18T19:30:00-0500,https://www.songkick.com/concerts/41816919-trey-kennedy-at-lexington-opera-house,artist_images/Trey_Kennedy.jpg,2024-07-18,07:30 PM
Six Foot Blonde,"Al's Bar,Lexington, KY, US",2024-07-18,https://www.songkick.com/concerts/41848768-six-foot-blonde-at-als-bar,artist_images/Six_Foot_Blonde.jpg,2024-07-18,
Veil of Maya,"Manchester Music Hall,Lexington, KY, US",2024-07-20T15:00:00-0500,https://www.songkick.com/concerts/41917527-veil-of-maya-at-manchester-music-hall,artist_images/Veil_of_Maya.jpg,2024-07-20,03:00 PM
"Left To Suffer, Within Destruction, Ten56, and Cabal","Manchester Music Hall,Lexington, KY, US",2024-07-20T17:20:00-0500,https://www.songkick.com/concerts/41907394-left-to-suffer-at-manchester-music-hall,"artist_images/Left_To_Suffer,_Within_Destruction,_Ten56,_and_Cabal.jpg",2024-07-20,05:20 PM
Olivia Rodrigo,"Rupp Arena,Lexington, KY, US",2024-07-24T19:30:00-0500,https://www.songkick.com/concerts/41413871-olivia-rodrigo-at-rupp-arena,artist_images/Olivia_Rodrigo.jpg,2024-07-24,07:30 PM
